# Andrassy 2022 (A&A 659 A193) idealized O-shell convection IC
# 2D slab for cart_ale2, y ∈ [1, 3], Lx = 2.0
# Variable-g in original paper; this slab uses mean g = 0.875690
# γ_eos = 1.6666666666666667, piecewise effective d ln p/d ln ρ: 1.667→1.300 at y=2
# μ: 1.848 (conv) → 1.802 (stable) via η₁ ramp
# Heating: q̇₀=3.795720e-04, L_tot=1.208215e-04, y∈[1.0, 1.125]
# Ly_cm Lx_cm g_y gamma rho_top P_top T_top mu
2.0000000000e+00 2.0000000000e+00 8.7568955454e-01 1.6666666667e+00 2.9074324042e-01 1.5805579100e-01 9.7961532990e-01 1.8480000000e+00
# y_cm rho P T
0.0000000000e+00 1.0000000000e+00 1.0000000000e+00 1.8480000000e+00
7.8125000000e-03 9.9967182903e-01 9.9945310822e-01 1.8475956713e+00
1.5625000000e-02 9.9762522045e-01 9.9604516800e-01 1.8450731124e+00
2.3437500000e-02 9.9318986522e-01 9.8867556043e-01 1.8396003621e+00
3.1250000000e-02 9.8711797481e-01 9.7862228309e-01 1.8320950740e+00
3.9062500000e-02 9.8080023091e-01 9.6820561964e-01 1.8242695390e+00
4.6875000000e-02 9.7455493368e-01 9.5795227703e-01 1.8165172088e+00
5.4687500000e-02 9.6838075220e-01 9.4785865748e-01 1.8088368599e+00
6.2500000000e-02 9.6227638946e-01 9.3792126685e-01 1.8012272982e+00
7.0312500000e-02 9.5624058126e-01 9.2813671092e-01 1.7936873580e+00
7.8125000000e-02 9.5027209518e-01 9.1850169184e-01 1.7862159008e+00
8.5937500000e-02 9.4436972948e-01 9.0901300478e-01 1.7788118153e+00
9.3750000000e-02 9.3853231221e-01 8.9966753465e-01 1.7714740157e+00
1.0156250000e-01 9.3275870023e-01 8.9046225300e-01 1.7642014415e+00
1.0937500000e-01 9.2704777830e-01 8.8139421506e-01 1.7569930564e+00
1.1718750000e-01 9.2139845821e-01 8.7246055683e-01 1.7498478478e+00
1.2500000000e-01 9.1580967796e-01 8.6365849239e-01 1.7427648259e+00
1.3281250000e-01 9.1028040094e-01 8.5498531121e-01 1.7357430232e+00
1.4062500000e-01 9.0480961516e-01 8.4643837570e-01 1.7287814940e+00
1.4843750000e-01 8.9939633252e-01 8.3801511870e-01 1.7218793132e+00
1.5625000000e-01 8.9403958803e-01 8.2971304121e-01 1.7150355764e+00
1.6406250000e-01 8.8873843921e-01 8.2152971013e-01 1.7082493986e+00
1.7187500000e-01 8.8349196533e-01 8.1346275610e-01 1.7015199145e+00
1.7968750000e-01 8.7829926683e-01 8.0550987147e-01 1.6948462770e+00
1.8750000000e-01 8.7315946469e-01 7.9766880826e-01 1.6882276575e+00
1.9531250000e-01 8.6807169977e-01 7.8993737629e-01 1.6816632448e+00
2.0312500000e-01 8.6303513235e-01 7.8231344134e-01 1.6751522451e+00
2.1093750000e-01 8.5804894144e-01 7.7479492334e-01 1.6686938812e+00
2.1875000000e-01 8.5311232436e-01 7.6737979474e-01 1.6622873919e+00
2.2656250000e-01 8.4822449613e-01 7.6006607880e-01 1.6559320322e+00
2.3437500000e-01 8.4338468904e-01 7.5285184805e-01 1.6496270721e+00
2.4218750000e-01 8.3859215211e-01 7.4573522279e-01 1.6433717967e+00
2.5000000000e-01 8.3384615066e-01 7.3871436958e-01 1.6371655058e+00
2.5781250000e-01 8.2914596584e-01 7.3178749985e-01 1.6310075131e+00
2.6562500000e-01 8.2449089420e-01 7.2495286857e-01 1.6248971463e+00
2.7343750000e-01 8.1988024728e-01 7.1820877289e-01 1.6188337464e+00
2.8125000000e-01 8.1531335117e-01 7.1155355092e-01 1.6128166676e+00
2.8906250000e-01 8.1078954615e-01 7.0498558050e-01 1.6068452769e+00
2.9687500000e-01 8.0630818630e-01 6.9850327801e-01 1.6009189534e+00
3.0468750000e-01 8.0186863912e-01 6.9210509725e-01 1.5950370888e+00
3.1250000000e-01 7.9747028517e-01 6.8578952835e-01 1.5891990861e+00
3.2031250000e-01 7.9311251777e-01 6.7955509672e-01 1.5834043602e+00
3.2812500000e-01 7.8879474258e-01 6.7340036201e-01 1.5776523369e+00
3.3593750000e-01 7.8451637737e-01 6.6732391714e-01 1.5719424533e+00
3.4375000000e-01 7.8027685166e-01 6.6132438735e-01 1.5662741567e+00
3.5156250000e-01 7.7607560639e-01 6.5540042928e-01 1.5606469052e+00
3.5937500000e-01 7.7191209369e-01 6.4955073010e-01 1.5550601669e+00
3.6718750000e-01 7.6778577655e-01 6.4377400661e-01 1.5495134197e+00
3.7500000000e-01 7.6369612857e-01 6.3806900446e-01 1.5440061513e+00
3.8281250000e-01 7.5964263365e-01 6.3243449733e-01 1.5385378588e+00
3.9062500000e-01 7.5562478580e-01 6.2686928613e-01 1.5331080485e+00
3.9843750000e-01 7.5164208882e-01 6.2137219832e-01 1.5277162357e+00
4.0625000000e-01 7.4769405610e-01 6.1594208710e-01 1.5223619443e+00
4.1406250000e-01 7.4378021037e-01 6.1057783078e-01 1.5170447070e+00
4.2187500000e-01 7.3990008346e-01 6.0527833206e-01 1.5117640647e+00
4.2968750000e-01 7.3605321610e-01 6.0004251739e-01 1.5065195666e+00
4.3750000000e-01 7.3223915770e-01 5.9486933633e-01 1.5013107698e+00
4.4531250000e-01 7.2845746611e-01 5.8975776096e-01 1.4961372392e+00
4.5312500000e-01 7.2470770746e-01 5.8470678523e-01 1.4909985474e+00
4.6093750000e-01 7.2098945594e-01 5.7971542444e-01 1.4858942742e+00
4.6875000000e-01 7.1730229361e-01 5.7478271466e-01 1.4808240070e+00
4.7656250000e-01 7.1364581021e-01 5.6990771216e-01 1.4757873402e+00
4.8437500000e-01 7.1001960299e-01 5.6508949294e-01 1.4707838749e+00
4.9218750000e-01 7.0642327654e-01 5.6032715218e-01 1.4658132194e+00
5.0000000000e-01 7.0285644258e-01 5.5561980377e-01 1.4608749884e+00
5.0781250000e-01 6.9931871986e-01 5.5096657983e-01 1.4559688031e+00
5.1562500000e-01 6.9580973394e-01 5.4636663023e-01 1.4510942912e+00
5.2343750000e-01 6.9232911707e-01 5.4181912215e-01 1.4462510864e+00
5.3125000000e-01 6.8887650800e-01 5.3732323966e-01 1.4414388288e+00
5.3906250000e-01 6.8545155187e-01 5.3287818328e-01 1.4366571642e+00
5.4687500000e-01 6.8205390007e-01 5.2848316958e-01 1.4319057442e+00
5.5468750000e-01 6.7868321006e-01 5.2413743076e-01 1.4271842263e+00
5.6250000000e-01 6.7533914526e-01 5.1984021432e-01 1.4224922734e+00
5.7031250000e-01 6.7202137491e-01 5.1559078260e-01 1.4178295540e+00
5.7812500000e-01 6.6872957395e-01 5.1138841250e-01 1.4131957418e+00
5.8593750000e-01 6.6546342291e-01 5.0723239508e-01 1.4085905158e+00
5.9375000000e-01 6.6222260772e-01 5.0312203523e-01 1.4040135602e+00
6.0156250000e-01 6.5900681969e-01 4.9905665132e-01 1.3994645641e+00
6.0937500000e-01 6.5581575531e-01 4.9503557491e-01 1.3949432215e+00
6.1718750000e-01 6.5264911618e-01 4.9105815042e-01 1.3904492314e+00
6.2500000000e-01 6.4950660890e-01 4.8712373481e-01 1.3859822973e+00
6.3281250000e-01 6.4638794495e-01 4.8323169730e-01 1.3815421274e+00
6.4062500000e-01 6.4329284057e-01 4.7938141909e-01 1.3771284345e+00
6.4843750000e-01 6.4022101671e-01 4.7557229304e-01 1.3727409357e+00
6.5625000000e-01 6.3717219889e-01 4.7180372346e-01 1.3683793525e+00
6.6406250000e-01 6.3414611711e-01 4.6807512578e-01 1.3640434107e+00
6.7187500000e-01 6.3114250577e-01 4.6438592635e-01 1.3597328401e+00
6.7968750000e-01 6.2816110355e-01 4.6073556213e-01 1.3554473749e+00
6.8750000000e-01 6.2520165336e-01 4.5712348052e-01 1.3511867530e+00
6.9531250000e-01 6.2226390223e-01 4.5354913905e-01 1.3469507165e+00
7.0312500000e-01 6.1934760123e-01 4.5001200518e-01 1.3427390111e+00
7.1093750000e-01 6.1645250538e-01 4.4651155612e-01 1.3385513864e+00
7.1875000000e-01 6.1357837359e-01 4.4304727851e-01 1.3343875957e+00
7.2656250000e-01 6.1072496855e-01 4.3961866831e-01 1.3302473959e+00
7.3437500000e-01 6.0789205669e-01 4.3622523054e-01 1.3261305476e+00
7.4218750000e-01 6.0507940807e-01 4.3286647908e-01 1.3220368148e+00
7.5000000000e-01 6.0228679633e-01 4.2954193648e-01 1.3179659648e+00
7.5781250000e-01 5.9951399863e-01 4.2625113380e-01 1.3139177685e+00
