E_bomb_erg,IE_erg,KE_erg,M_Ar_orich,M_Ar_total,M_C_orich,M_C_total,M_Ca_orich,M_Ca_total,M_Cr_orich,M_Cr_total,M_Fe_orich,M_Fe_total,M_He_orich,M_He_total,M_Mg_orich,M_Mg_total,M_Ne_orich,M_Ne_total,M_Ni_orich,M_Ni_total,M_O_orich,M_O_total,M_S_orich,M_S_total,M_Si_orich,M_Si_total,M_Ti_orich,M_Ti_total,M_ejecta_msun,M_orich_total,Mg_Ne,Mg_Ne_paper,Mg_Ne_ratio_to_paper,Si_Ne,mass_cut,nr,nz_orich,t_final,wall_s,zams
5e+50,2.0264377914766758e+50,3.2447147169318656e+50,3.9309150280211085e-05,0.012858395702559913,0.0411799385211003,0.1355386333661333,3.202581707441669e-05,0.00990024662188842,1.6082202541720483e-05,0.0008199240517427665,0.0006861257624809504,0.021063100730882058,0.004354603010360399,8.762562215285369,0.028694636064978338,0.03494023660268273,0.0956965855549776,0.11128231025769877,3.2864828034907444e-23,0.013431589823266343,0.3484581169282272,0.39912192134046587,0.00023189240828128127,0.047297200820046965,0.0069476841221055834,0.07562292063379379,1.7811076562823188e-06,4.1702515434487926e-05,9.624480590246355,0.5263387822790976,0.29985015555746547,0.3,0.999500518524885,0.07260117047869116,1.4,128,7,10.0,3.4327375888824463,12.02
1e+51,3.750399686036262e+50,7.285538091927466e+50,3.930915629551145e-05,0.01030605902325277,0.04117982332493269,0.13553652568892907,3.202581782632924e-05,0.04230880071745439,1.6082202541720483e-05,0.0013735415888363933,0.0006861257624809504,0.014901375469250687,0.004347368109738722,8.76304124621538,0.028697248133972283,0.03493853595947828,0.09572817289364925,0.11131419077098256,5.892189833816399e-19,0.022056030587651806,0.34843114582519813,0.3990538590945161,0.00023189273160367611,0.03124292025920988,0.006947818158036055,0.04400744836390909,1.7811065284134996e-06,0.01439988912684658,9.624480590246355,0.5263387822790976,0.29977850058680167,0.3,0.9992616686226723,0.07257861450834172,1.4,128,7,10.0,11.02546739578247,12.02
2e+51,6.907146742945153e+50,1.4350241458243576e+51,3.950727698037423e-05,0.0009496304953373775,0.04115434972728367,0.1355469617147193,3.223785265285783e-05,0.004951889399372958,1.6082202541720483e-05,0.020720063873334773,0.0006861257624809504,0.017882052746083493,0.004147984969200289,8.815492310218893,0.03613002501850332,0.04236855429478195,0.07978402289786239,0.09538337204358976,3.8727415946949327e-13,0.01041850851036696,0.35457630149081576,0.4051832202798476,0.00027324107923572125,0.0034720123745901627,0.009497347660577972,0.015884087828637383,1.5480116239928469e-06,0.05622771206037281,9.624480590246355,0.5263387822790976,0.45284787237109014,0.3,1.5094929079036339,0.11903821486585417,1.4,128,7,10.0,14.028458595275879,12.02
4e+51,1.2483749386575043e+51,2.42669674345352e+51,0.005018607441731618,0.00596859279467601,0.04030379972864157,0.13472470545132081,0.0017004504794367193,0.0023316567706118635,1.608695237327428e-05,0.012399559281864418,0.0006861079421536077,0.018936113077813992,0.0032695497092633924,8.882401662545057,0.032096045849087027,0.038345633587436166,0.06564031443738326,0.08143299309138997,1.651435603091618e-08,0.0019371667842621944,0.30404739491662386,0.3544944724577106,0.025633207877130023,0.028836884354952477,0.04792446758273511,0.05431446462906933,2.7281044313039885e-06,0.008356491852492905,9.624480590246355,0.5263387822790976,0.4889684963301728,0.3,1.6298949877672428,0.7301072213548283,1.4,128,7,10.0,16.20035719871521,12.02
5e+50,3.0424266703121298e+50,3.7028549188680264e+50,3.897879026482996e-05,0.0007029936746963824,0.055084154609082905,0.12183592934892376,3.136407280256488e-05,0.0005733208289016568,1.5748008869845483e-05,0.0002879635907628889,0.0006718678343559505,0.012285583256794524,0.004268186065886217,8.758669818815449,0.025165208459805837,0.03137548603999441,0.07284445044101065,0.08794042131994953,1.3829445267471214e-13,1.3829445267471214e-13,0.35078066959556337,0.3947438076724864,0.0002590408096423572,0.0034387553600268884,0.006239879792730926,0.012594400005527046,1.7455107007546931e-06,3.192440213002154e-05,9.424480590246354,0.5154012822790974,0.34546500532919244,0.3,1.1515500177639748,0.08566033177481343,1.6,128,7,10.0,1.0803601741790771,12.02
1e+51,5.6659843823875594e+50,7.805479712596392e+50,4.030426467708067e-05,0.0007043191491086331,0.054712584882711475,0.12146455547503958,3.1526521396438885e-05,0.0005734832774955309,1.5748008869845483e-05,0.0002879635907628889,0.0006718678343559505,0.012285583256794524,0.004265484394736054,8.75866686680653,0.031558982694514404,0.0377693493802218,0.05376738327797866,0.0688633806632692,1.0918138593807891e-12,1.0918138593807926e-12,0.35957355536587854,0.40353664043967,0.0003575198211506301,0.003537234371535161,0.010404755532395676,0.016759275759917543,1.5688242569008625e-06,3.1747715686167705e-05,9.424480590246354,0.5154012822790974,0.5869540373827327,0.3,1.9565134579424424,0.1935142627009174,1.6,128,7,10.0,1.0694265365600586,12.02
2e+51,1.0081997412312956e+51,1.5546233428334318e+51,4.6104832210164765e-05,0.0007101197166417172,0.05407582775199685,0.1208281108983883,3.17274380694471e-05,0.000573684194168539,1.5748011814995667e-05,0.0002879635937080391,0.0006718678343559505,0.012285583256794524,0.004201835698939032,8.75860137739187,0.026652664041144778,0.03286527614616719,0.053443529848142726,0.0685421189655956,1.7033393900650758e-11,1.7033393900655514e-11,0.35752852406942515,0.40148829663855934,0.0008742004324926009,0.004053914982877132,0.017857956327296757,0.024212479750306572,1.3000496488832141e-06,3.147894107815006e-05,9.424480590246354,0.5154012822790974,0.49870702995997956,0.3,1.6623567665332653,0.3341462732353065,1.6,128,7,10.0,1.2558281421661377,12.02
4e+51,3.4501458867135484e+51,2.5288841240779675e+51,0.008201561867861805,0.008865576752293354,0.05294267618968501,0.11969488592820811,0.005123055727775513,0.005665012483874607,1.5790692931468745e-05,0.0002880062748245121,0.0006718286638584972,0.01228554408629707,0.0036425649922949507,8.758041120059913,0.02036358597108086,0.02657770213485098,0.03448020351162909,0.04958067826148759,3.85943023895321e-08,3.8594302389532114e-08,0.3101249800267358,0.35408241265932267,0.02870289576598786,0.03188261032373529,0.05111622927922148,0.05747075551484975,1.5865818075656667e-05,4.604470950492352e-05,9.424480590246354,0.5154012822790974,0.5905877546289094,0.3,1.9686258487630315,1.4824804981786601,1.6,128,7,10.0,1.175459861755371,12.02
5e+50,3.993927082624265e+50,3.5027911967681558e+50,2.1486052231226896e-05,0.0006875234669906279,0.03773147453295937,0.11900279976981964,1.753575778060961e-05,0.0005611432659957947,8.807894398840276e-06,0.00028185262076288887,0.0003757770892748289,0.012024866856794521,0.004170589535928569,8.768406328884616,0.006978808103661378,0.013208019463554347,0.04926252928817136,0.064690044137011,1.1389286638193693e-21,1.1389286872586244e-21,0.18918299149611714,0.2355092541575082,0.0001029948210034492,0.003292394499331399,0.0004110456296521801,0.006784921153147892,9.764780038293467e-07,3.124729165443131e-05,9.224480590246355,0.2882650184451986,0.14166564738967005,0.3,0.4722188246322335,0.008343981431559951,1.8,128,4,10.0,0.8445758819580078,12.02
1e+51,7.38664950938127e+50,7.441730240026773e+50,2.148606736514036e-05,0.0006875234821245415,0.03773052542038614,0.11900203096701546,1.753575778060961e-05,0.0005611432659957947,8.807894398840276e-06,0.00028185262076288887,0.0003757770892748289,0.012024866856794521,0.004020935337362179,8.76825570899824,0.006999312178224619,0.013229026502921773,0.04997625041264021,0.0654059431036942,1.1709922274230155e-18,1.170992343315234e-18,0.18859907466812906,0.23492344851694716,0.0001029950804419658,0.0032923947587699155,0.0004113481205492855,0.0067852239034835145,9.764780758956013e-07,3.124729172649756e-05,9.224480590246355,0.2882650184451986,0.1400527674732141,0.3,0.466842558244047,0.008230872007261384,1.8,128,4,10.0,0.9636373519897461,12.02
