zams_mass,M_star,nz,R_star,M_He,xi25,M4,mu4,M_O,M_Ne,M_Mg,M_Si,MgNe,SiNe,SiO,m_O_inner,m_O_outer
12.0,10.91,3461,47355396437964.02,3.133039545535944,0.02496227669035654,1.596523439943278,0.042332455897096215,0.33167678803264267,0.10039563970613562,0.02463243110083469,0.002718339486395458,0.2453535947670175,0.027076270387361538,0.008195748344403066,1.5933792078084772,2.1148603615150714
12.01,10.89,3461,47700450077643.47,3.151231723183179,0.02606731791180745,1.6057774034772385,0.041824955399496044,0.32683207140281534,0.09534563442789508,0.024521706040919144,0.0034886446977960344,0.25718750720006617,0.036589453924440705,0.010674119840266028,1.6062036185450703,2.0986899794376073
12.02,11.02,3477,47196922457502.625,3.112129674335468,0.02548987554392247,1.5821888012956067,0.04859926493335089,0.35145311911687194,0.09014248979537628,0.02841661777057983,0.007264286034771395,0.31524110145044404,0.08058670279977118,0.020669288845764192,1.561069321327,2.085269887536519
12.03,11.0,3474,47384668644254.305,3.1390306928333414,0.016511091478323997,1.616978813147867,0.047937453268470924,0.3227796036631537,0.05820654509605054,0.029198978548496575,0.020758934167524206,0.5016442480877945,0.35664261009253323,0.06431302948493552,1.5653732731805778,2.027448257756521
12.04,10.97,3470,47762309312087.76,3.1601605347414634,0.019802612793685496,1.6148167653427128,0.0419081117543845,0.3342862946900822,0.07772283973486034,0.033373164510563026,0.024234070777085902,0.4293868394980228,0.3118011495688623,0.07249495765165419,1.5505459145601221,2.0427672320109456
12.05,11.01,3480,47679198560293.484,3.1507700927044104,0.01771060707908566,1.6305095395772664,0.035484896719531644,0.2758610751347956,0.07928168592596525,0.02426858264146497,0.005073683855274707,0.3061057841798096,0.06399566048598676,0.018392170235672155,1.6316076799362813,2.0362696735024772
12.06,10.93,3473,47837762861292.1,3.1614836646222764,0.01920839711910245,1.5445681271855076,0.056766061110715436,0.3244172619810597,0.07601993873599935,0.03125194906789601,0.021090770013702246,0.4111020028104364,0.277437345575164,0.06501124473127937,1.5674110576189038,2.043024646187046
12.07,11.02,3483,47840490425472.83,3.1639422558630805,0.026807554070798177,1.609074027832844,0.04418341317468179,0.3497928178916535,0.09911528161149107,0.028230749490256866,0.004841040519326172,0.2848274154223247,0.04884252398436327,0.013839736757618789,1.593626510007673,2.14433585053066
12.08,11.0,3484,48049712528725.84,3.1723921079841735,0.028407866061939856,1.527966333995309,0.056595795394898694,0.38600023409043765,0.06626557452573847,0.04221999251170678,0.02770198742172455,0.6371331240070656,0.41804492936169607,0.07176676326894178,1.550912715370631,2.1196568204682578
12.09,10.95,3480,47861013314471.875,3.1695648205212232,0.027253815262668225,1.6121763828727202,0.04241842889600824,0.3367050469487939,0.09613647695754639,0.024503364045990184,0.0033321059676795603,0.2548810276957705,0.034660163063298124,0.009896216281505003,1.6126593483305194,2.1180725217132954
