family,res,scheme,v_rms,y_ub,Mdot_per_Lx,delta_int,L_iso_over_Lx,species_mass
vl2,128,PLM-VL,1.717265e-01,2.007812e+00,4.579050e-06,2.404120e+00,3.021805e-01,2.449342e-01
vl2,128,PLM-MM,1.952803e-02,2.747702e+00,1.683710e-05,1.001691e+00,3.780484e-01,2.449342e-01
vl2,256,PLM-VL,1.649377e-01,2.003906e+00,1.463598e-05,4.263985e-01,1.122417e+00,2.449144e-01
vl2,256,PLM-MM,1.067211e-01,2.003906e+00,1.542449e-05,4.243966e-01,1.025113e+00,2.449144e-01
vl2,512,PLM-VL,1.596467e-01,2.001953e+00,1.524260e-05,2.278759e-01,1.137794e+00,2.449095e-01
vl2,512,PLM-MM,1.354842e-01,2.001953e+00,1.506688e-05,1.935593e-01,1.105909e+00,2.449095e-01
ale2,128,MUSCL-VL,3.579301e-02,2.009765e+00,4.655477e-05,1.755957e-01,2.928928e+00,2.449342e-01
ale2,128,MUSCL-MM,3.559440e-02,2.009765e+00,5.486151e-05,2.014119e-01,2.101553e+00,2.449342e-01
ale2,128,PPM-CS,3.601432e-02,2.009765e+00,4.668992e-05,1.766783e-01,2.883271e+00,2.449342e-01
ale2,256,MUSCL-MC,2.917066e-02,2.162252e+00,1.970898e-05,5.491245e-02,1.236783e+00,2.449144e-01
ale2,256,MUSCL-VL,3.051513e-02,2.100133e+00,1.569870e-05,6.442299e-02,1.197959e+00,2.449144e-01
ale2,256,MUSCL-MM,3.892993e-02,2.022770e+00,7.285912e-06,8.338329e-02,1.206329e+00,2.449144e-01
ale2,256,PPM-CS,4.087982e-02,2.007336e+00,1.043325e-05,8.807128e-02,1.306764e+00,2.449144e-01
ale2,512,MUSCL-VL,3.206915e-02,2.053577e+00,1.568070e-05,5.639351e-02,1.275534e+00,2.449095e-01
ale2,512,MUSCL-MM,3.332627e-02,2.055645e+00,1.189134e-05,5.592548e-02,1.280236e+00,2.449095e-01
ale2,512,PPM-CS,2.115180e-02,2.081380e+00,1.362008e-05,5.075588e-02,1.318761e+00,2.449095e-01
