t,vx_y0.2500,vx_y0.5000,vx_y0.7500,vx_y1.0000,vx_y1.2500,A_drv,f_drive,H,B0y,rho0,yd_bottom
2.8595101230e+00,-1.3847565371e-03,-3.2218442848e-04,1.5372476254e-03,-2.0677122625e-03,6.3818111542e-04,1.0000000000e-03,2.0000000000e+00,1.0000000000e+00,5.0000000000e-01,1.0000000000e+00,3.9062500000e-03
2.8612379246e+00,-1.3831785463e-03,-2.8616585196e-04,1.5389865548e-03,-2.0713502599e-03,6.4286598474e-04,1.0000000000e-03,2.0000000000e+00,1.0000000000e+00,5.0000000000e-01,1.0000000000e+00,3.9062500000e-03
2.8629657262e+00,-1.3810112500e-03,-2.5009470962e-04,1.5404612746e-03,-2.0734193109e-03,6.4706598459e-04,1.0000000000e-03,2.0000000000e+00,1.0000000000e+00,5.0000000000e-01,1.0000000000e+00,3.9062500000e-03
2.8646935277e+00,-1.3781446834e-03,-2.1397690550e-04,1.5417300465e-03,-2.0739304742e-03,6.5080758325e-04,1.0000000000e-03,2.0000000000e+00,1.0000000000e+00,5.0000000000e-01,1.0000000000e+00,3.9062500000e-03
2.8664213293e+00,-1.3744808105e-03,-1.7781845951e-04,1.5428370837e-03,-2.0728298776e-03,6.5412314106e-04,1.0000000000e-03,2.0000000000e+00,1.0000000000e+00,5.0000000000e-01,1.0000000000e+00,3.9062500000e-03
2.8681491309e+00,-1.3699525774e-03,-1.4162573093e-04,1.5438201383e-03,-2.0702642729e-03,6.5710217010e-04,1.0000000000e-03,2.0000000000e+00,1.0000000000e+00,5.0000000000e-01,1.0000000000e+00,3.9062500000e-03
2.8698769324e+00,-1.3644831004e-03,-1.0540558847e-04,1.5446898437e-03,-2.0661544168e-03,6.5938711872e-04,1.0000000000e-03,2.0000000000e+00,1.0000000000e+00,5.0000000000e-01,1.0000000000e+00,3.9062500000e-03
2.8716047340e+00,-1.3580229642e-03,-6.9165544977e-05,1.5454519567e-03,-2.0605063304e-03,6.6098263118e-04,1.0000000000e-03,2.0000000000e+00,1.0000000000e+00,5.0000000000e-01,1.0000000000e+00,3.9062500000e-03
2.8733325355e+00,-1.3505369277e-03,-3.2913877345e-05,1.5461478274e-03,-2.0533769290e-03,6.6195626659e-04,1.0000000000e-03,2.0000000000e+00,1.0000000000e+00,5.0000000000e-01,1.0000000000e+00,3.9062500000e-03
2.8750603370e+00,-1.3419156088e-03,3.3402566820e-06,1.5467569135e-03,-2.0447985038e-03,6.6275356854e-04,1.0000000000e-03,2.0000000000e+00,1.0000000000e+00,5.0000000000e-01,1.0000000000e+00,3.9062500000e-03
2.8767881386e+00,-1.3320764355e-03,3.9586701946e-05,1.5472577368e-03,-2.0347945929e-03,6.6356955632e-04,1.0000000000e-03,2.0000000000e+00,1.0000000000e+00,5.0000000000e-01,1.0000000000e+00,3.9062500000e-03
2.8785159401e+00,-1.3209600357e-03,7.5814190579e-05,1.5476937040e-03,-2.0233875825e-03,6.6431431914e-04,1.0000000000e-03,2.0000000000e+00,1.0000000000e+00,5.0000000000e-01,1.0000000000e+00,3.9062500000e-03
2.8802437416e+00,-1.3085182648e-03,1.1201023283e-04,1.5480687433e-03,-2.0106013774e-03,6.6492888982e-04,1.0000000000e-03,2.0000000000e+00,1.0000000000e+00,5.0000000000e-01,1.0000000000e+00,3.9062500000e-03
2.8819715432e+00,-1.2947207447e-03,1.4816102398e-04,1.5483879748e-03,-1.9964691288e-03,6.6536936399e-04,1.0000000000e-03,2.0000000000e+00,1.0000000000e+00,5.0000000000e-01,1.0000000000e+00,3.9062500000e-03
2.8836993447e+00,-1.2795631616e-03,1.8425137527e-04,1.5487106573e-03,-1.9810378194e-03,6.6559989378e-04,1.0000000000e-03,2.0000000000e+00,1.0000000000e+00,5.0000000000e-01,1.0000000000e+00,3.9062500000e-03
2.8854271462e+00,-1.2630612511e-03,2.2026467247e-04,1.5489954563e-03,-1.9643601186e-03,6.6558949675e-04,1.0000000000e-03,2.0000000000e+00,1.0000000000e+00,5.0000000000e-01,1.0000000000e+00,3.9062500000e-03
2.8871549478e+00,-1.2452561757e-03,2.5618286105e-04,1.5492489430e-03,-1.9464902206e-03,6.6531076067e-04,1.0000000000e-03,2.0000000000e+00,1.0000000000e+00,5.0000000000e-01,1.0000000000e+00,3.9062500000e-03
2.8888827493e+00,-1.2262128777e-03,2.9198645496e-04,1.5494632288e-03,-1.9274818965e-03,6.6473954510e-04,1.0000000000e-03,2.0000000000e+00,1.0000000000e+00,5.0000000000e-01,1.0000000000e+00,3.9062500000e-03
2.8906105509e+00,-1.2059919501e-03,3.2765456531e-04,1.5496205878e-03,-1.9073876604e-03,6.6385520501e-04,1.0000000000e-03,2.0000000000e+00,1.0000000000e+00,5.0000000000e-01,1.0000000000e+00,3.9062500000e-03
2.8923383524e+00,-1.1846543001e-03,3.6316494515e-04,1.5496945373e-03,-1.8862584386e-03,6.6264108977e-04,1.0000000000e-03,2.0000000000e+00,1.0000000000e+00,5.0000000000e-01,1.0000000000e+00,3.9062500000e-03
