code,res,scheme,label,t_lo,t_hi,v_rms_conv,y_ub,Mdot_e
vl2,128,VL,Athena PLM-VL,1000,2000,1.717265e-01,2.007812e+00,9.158100e-06
vl2,256,VL,Athena PLM-VL,1000,2000,1.649377e-01,2.003906e+00,2.927195e-05
vl2,512,VL,Athena PLM-VL,1000,2000,1.596467e-01,2.001953e+00,3.048520e-05
vl2,128,MM,Athena PLM-MM,1000,2000,1.952803e-02,2.747702e+00,3.367420e-05
vl2,256,MM,Athena PLM-MM,1000,2000,1.067211e-01,2.003906e+00,3.084899e-05
vl2,512,MM,Athena PLM-MM,1000,2000,1.354842e-01,2.001953e+00,3.013376e-05
ale2,128,VL,ALE MUSCL-VL,100,400,2.843593e-02,2.011718e+00,7.677008e-05
ale2,128,MM,ALE MUSCL-MM,100,400,2.805820e-02,2.009765e+00,8.164092e-05
ale2,128,PPM,ALE PPM-CS,100,400,2.848257e-02,2.011718e+00,7.711513e-05
ale2,256,MC,ALE MUSCL-MC,1000,2000,5.252917e-03,2.003906e+00,
ale2,256,VL,ALE MUSCL-VL,1000,2000,5.142369e-03,2.003906e+00,
ale2,256,MM,ALE MUSCL-MM,1000,2000,5.217301e-03,2.003906e+00,
ale2,256,PPM,ALE PPM-CS,1000,2000,4.844308e-03,2.003906e+00,
ale2,512,VL,ALE MUSCL-VL,1000,2000,2.151802e-02,2.001953e+00,2.096148e-05
ale2,512,MM,ALE MUSCL-MM,1000,2000,2.964103e-02,2.005247e+00,1.224911e-05
ale2,512,PPM,ALE PPM-CS,1000,2000,2.528178e-02,2.003255e+00,1.324724e-05
