solver,k_mode,k_phys,lambda,nu_eff,n_fit_points
cart_ale2,1,6.283185e+00,1.533178e-01,3.883586e-03,23
cart_ale2,2,1.256637e+01,6.130133e-01,3.881952e-03,23
cart_ale2,4,2.513274e+01,2.448676e+00,3.876605e-03,23
cart_ale2,8,5.026548e+01,9.771347e+00,3.867361e-03,23
cart_ale2,16,1.005310e+02,3.918623e+01,3.877339e-03,23
cart_ale2,32,2.010619e+02,7.464029e+01,1.846348e-03,23
cart_ale2,64,4.021239e+02,1.839674e+00,1.137683e-05,23
athena_vl2,1,6.283185e+00,-2.987509e-16,-7.567450e-18,25
athena_vl2,2,1.256637e+01,-9.516552e-17,-6.026427e-19,25
athena_vl2,4,2.513274e+01,-1.103745e-14,-1.747387e-17,25
athena_vl2,8,5.026548e+01,-8.878985e-15,-3.514177e-18,25
athena_vl2,16,1.005310e+02,-6.419414e-16,-6.351783e-20,25
athena_vl2,32,2.010619e+02,3.222647e-15,7.971739e-20,25
athena_vl2,64,4.021239e+02,7.227395e-15,4.469532e-20,25
