solver,res,V0,lambda,nu_eff,n_fit_points
cart_ale2,64,0.01,6.121689e-01,1.550642e-02,23
cart_ale2,128,0.01,3.063183e-01,7.759133e-03,45
cart_ale2,256,0.01,1.532415e-01,3.881653e-03,91
cart_ale2,512,0.01,7.664449e-02,1.941428e-03,183
cart_ale2,64,0.1,6.450425e-01,1.633912e-02,24
cart_ale2,128,0.1,3.256879e-01,8.249771e-03,49
cart_ale2,256,0.1,1.638393e-01,4.150098e-03,98
cart_ale2,512,0.1,8.217922e-02,2.081624e-03,197
athena_vl2,64,0.01,-1.307887e-15,-3.312915e-17,25
athena_vl2,128,0.01,1.478767e-15,3.745759e-17,50
athena_vl2,256,0.01,3.780932e-15,9.577214e-17,100
athena_vl2,512,0.01,-2.829876e-16,-7.168160e-18,200
athena_vl2,64,0.1,-9.923495e-16,-2.513651e-17,27
athena_vl2,128,0.1,-1.433397e-15,-3.630838e-17,54
athena_vl2,256,0.1,2.822505e-16,7.149490e-18,107
athena_vl2,512,0.1,7.597026e-16,1.924349e-17,214
pseudo_spectral,64,0.01,-2.281726e-16,-2.889840e-18,19
pseudo_spectral,128,0.01,-6.998924e-16,-8.864241e-18,38
pseudo_spectral,256,0.01,5.500479e-16,6.966438e-18,77
pseudo_spectral,512,0.01,-1.081461e-15,-1.369686e-17,153
pseudo_spectral,64,0.1,-2.281726e-16,-2.889840e-18,19
pseudo_spectral,128,0.1,-6.998924e-16,-8.864241e-18,38
pseudo_spectral,256,0.1,5.500479e-16,6.966438e-18,77
pseudo_spectral,512,0.1,-1.081461e-15,-1.369686e-17,153
