step,t,dt,mass,KE,IE,PE,E,max_v,max_mach
10,9.0078660710e-03,9.007866e-04,1.0000000000e+00,2.5000000000e-05,1.5000000000e+00,0.0000000000e+00,1.5000250000e+00,9.951847e-03,7.708668e-03
20,1.8015732142e-02,9.007866e-04,1.0000000000e+00,2.5000000000e-05,1.5000000000e+00,0.0000000000e+00,1.5000250000e+00,9.951847e-03,7.708668e-03
30,2.7023598213e-02,9.007866e-04,1.0000000000e+00,2.5000000000e-05,1.5000000000e+00,0.0000000000e+00,1.5000250000e+00,9.951847e-03,7.708668e-03
40,3.6031464284e-02,9.007866e-04,1.0000000000e+00,2.5000000000e-05,1.5000000000e+00,0.0000000000e+00,1.5000250000e+00,9.951847e-03,7.708668e-03
50,4.5039330355e-02,9.007866e-04,1.0000000000e+00,2.5000000000e-05,1.5000000000e+00,0.0000000000e+00,1.5000250000e+00,9.951847e-03,7.708668e-03
60,5.4047196426e-02,9.007866e-04,1.0000000000e+00,2.5000000000e-05,1.5000000000e+00,0.0000000000e+00,1.5000250000e+00,9.951847e-03,7.708668e-03
70,6.3055062497e-02,9.007866e-04,1.0000000000e+00,2.5000000000e-05,1.5000000000e+00,0.0000000000e+00,1.5000250000e+00,9.951847e-03,7.708668e-03
80,7.2062928568e-02,9.007866e-04,1.0000000000e+00,2.5000000000e-05,1.5000000000e+00,0.0000000000e+00,1.5000250000e+00,9.951847e-03,7.708668e-03
90,8.1070794639e-02,9.007866e-04,1.0000000000e+00,2.5000000000e-05,1.5000000000e+00,0.0000000000e+00,1.5000250000e+00,9.951847e-03,7.708668e-03
100,9.0078660710e-02,9.007866e-04,1.0000000000e+00,2.5000000000e-05,1.5000000000e+00,0.0000000000e+00,1.5000250000e+00,9.951847e-03,7.708668e-03
110,9.9086526781e-02,9.007866e-04,1.0000000000e+00,2.5000000000e-05,1.5000000000e+00,0.0000000000e+00,1.5000250000e+00,9.951847e-03,7.708668e-03
120,1.0809439285e-01,9.007866e-04,1.0000000000e+00,2.5000000000e-05,1.5000000000e+00,0.0000000000e+00,1.5000250000e+00,9.951847e-03,7.708668e-03
130,1.1710225892e-01,9.007866e-04,1.0000000000e+00,2.5000000000e-05,1.5000000000e+00,0.0000000000e+00,1.5000250000e+00,9.951847e-03,7.708668e-03
140,1.2611012499e-01,9.007866e-04,1.0000000000e+00,2.5000000000e-05,1.5000000000e+00,0.0000000000e+00,1.5000250000e+00,9.951847e-03,7.708668e-03
150,1.3511799107e-01,9.007866e-04,1.0000000000e+00,2.5000000000e-05,1.5000000000e+00,0.0000000000e+00,1.5000250000e+00,9.951847e-03,7.708668e-03
160,1.4412585714e-01,9.007866e-04,1.0000000000e+00,2.5000000000e-05,1.5000000000e+00,0.0000000000e+00,1.5000250000e+00,9.951847e-03,7.708668e-03
