step,t,dt,mass,KE,IE,PE,E,max_v,max_mach
10,9.8246178833e-03,9.828001e-04,1.0000000000e+00,2.0610479836e-05,2.5000043895e+00,0.0000000000e+00,2.5000250000e+00,9.079753e-03,7.673780e-03
20,1.9656500012e-02,9.834958e-04,1.0000000000e+00,1.6991677742e-05,2.5000080083e+00,0.0000000000e+00,2.5000250000e+00,8.244191e-03,6.967594e-03
30,2.9494985593e-02,9.841281e-04,1.0000000000e+00,1.4008270989e-05,2.5000109917e+00,0.0000000000e+00,2.5000250000e+00,7.485521e-03,6.326397e-03
40,3.9339474229e-02,9.847031e-04,1.0000000000e+00,1.1548695010e-05,2.5000134513e+00,0.0000000000e+00,2.5000250000e+00,6.796667e-03,5.744207e-03
50,4.9189420786e-02,9.852258e-04,1.0000000000e+00,9.5209736222e-06,2.5000154790e+00,0.0000000000e+00,2.5000250000e+00,6.171207e-03,5.215595e-03
60,5.9044329285e-02,9.857009e-04,1.0000000000e+00,7.8492802191e-06,2.5000171507e+00,0.0000000000e+00,2.5000250000e+00,5.603305e-03,4.735629e-03
70,6.8903747617e-02,9.861327e-04,1.0000000000e+00,6.4711031066e-06,2.5000185289e+00,0.0000000000e+00,2.5000250000e+00,5.087664e-03,4.299834e-03
80,7.8767263883e-02,9.865251e-04,1.0000000000e+00,5.3349068277e-06,2.5000196651e+00,0.0000000000e+00,2.5000250000e+00,4.619475e-03,3.904143e-03
90,8.8634503576e-02,9.868816e-04,1.0000000000e+00,4.3982042714e-06,2.5000206018e+00,0.0000000000e+00,2.5000250000e+00,4.194371e-03,3.544866e-03
100,9.8505126621e-02,9.872055e-04,1.0000000000e+00,3.6259681388e-06,2.5000213740e+00,0.0000000000e+00,2.5000250000e+00,3.808387e-03,3.218651e-03
110,1.0837882405e-01,9.874999e-04,1.0000000000e+00,2.9893212311e-06,2.5000220107e+00,0.0000000000e+00,2.5000250000e+00,3.457923e-03,2.922457e-03
120,1.1825531479e-01,9.877673e-04,1.0000000000e+00,2.4644567158e-06,2.5000225355e+00,0.0000000000e+00,2.5000250000e+00,3.139710e-03,2.653519e-03
130,1.2813434310e-01,9.880102e-04,1.0000000000e+00,2.0317478652e-06,2.5000229683e+00,0.0000000000e+00,2.5000250000e+00,2.850781e-03,2.409331e-03
140,1.3801567643e-01,9.882309e-04,1.0000000000e+00,1.6750140029e-06,2.5000233250e+00,0.0000000000e+00,2.5000250000e+00,2.588440e-03,2.187614e-03
150,1.4789910359e-01,9.884313e-04,1.0000000000e+00,1.3809154343e-06,2.5000236191e+00,0.0000000000e+00,2.5000250000e+00,2.350241e-03,1.986301e-03
160,1.5778443275e-01,9.886134e-04,1.0000000000e+00,1.1384546444e-06,2.5000238615e+00,0.0000000000e+00,2.5000250000e+00,2.133963e-03,1.803513e-03
170,1.6767148961e-01,9.887788e-04,1.0000000000e+00,9.3856506662e-07,2.5000240614e+00,0.0000000000e+00,2.5000250000e+00,1.937587e-03,1.637546e-03
