omega_dt,alpha_amp,rho_G,coupling
0.01,0.0,1.0,imaginary
0.01,0.025423728813559324,1.0000000000685285,imaginary
0.01,0.05084745762711865,1.0000000001475058,imaginary
0.01,0.07627118644067797,1.0000000002377107,imaginary
0.01,0.1016949152542373,1.0000000003399445,imaginary
0.01,0.1271186440677966,1.0000000004550362,imaginary
0.01,0.15254237288135594,1.0000000005838363,imaginary
0.01,0.17796610169491528,1.0000000007272245,imaginary
0.01,0.2033898305084746,1.000000000886102,imaginary
0.01,0.2288135593220339,1.0000000010613959,imaginary
0.01,0.2542372881355932,1.0000000012540613,imaginary
0.01,0.2796610169491526,1.0000000014650756,imaginary
0.01,0.3050847457627119,1.0000000016954413,imaginary
0.01,0.3305084745762712,1.000000001946189,imaginary
0.01,0.35593220338983056,1.0000000022183688,imaginary
0.01,0.38135593220338987,1.000000002513061,imaginary
0.01,0.4067796610169492,1.0000000028313711,imaginary
0.01,0.4322033898305085,1.0000000031744243,imaginary
0.01,0.4576271186440678,1.0000000035433765,imaginary
0.01,0.48305084745762716,1.000000003939408,imaginary
0.01,0.5084745762711864,1.0000000043637223,imaginary
0.01,0.5338983050847458,1.0000000048175484,imaginary
0.01,0.5593220338983051,1.000000005302141,imaginary
0.01,0.5847457627118644,1.0000000058187812,imaginary
0.01,0.6101694915254238,1.000000006368771,imaginary
0.01,0.6355932203389831,1.0000000069534436,imaginary
0.01,0.6610169491525424,1.0000000075741535,imaginary
0.01,0.6864406779661018,1.0000000082322802,imaginary
0.01,0.7118644067796611,1.000000008929232,imaginary
0.01,0.7372881355932204,1.000000009666435,imaginary
0.01,0.7627118644067797,1.0000000104453497,imaginary
0.01,0.788135593220339,1.0000000112674554,imaginary
0.01,0.8135593220338984,1.0000000121342607,imaginary
0.01,0.8389830508474577,1.000000013047294,imaginary
0.01,0.864406779661017,1.0000000140081144,imaginary
0.01,0.8898305084745763,1.0000000150183035,imaginary
0.01,0.9152542372881356,1.0000000160794693,imaginary
0.01,0.940677966101695,1.0000000171932442,imaginary
0.01,0.9661016949152543,1.0000000183612854,imaginary
0.01,0.9915254237288136,1.000000019585276,imaginary
0.01,1.0169491525423728,1.0000000208669249,imaginary
0.01,1.0423728813559323,1.0000000222079666,imaginary
0.01,1.0677966101694916,1.0000000236101578,imaginary
0.01,1.0932203389830508,1.0000000250752845,imaginary
0.01,1.1186440677966103,1.0000000266051545,imaginary
0.01,1.1440677966101696,1.0000000282016044,imaginary
0.01,1.1694915254237288,1.0000000298664933,imaginary
0.01,1.1949152542372883,1.0000000316017068,imaginary
0.01,1.2203389830508475,1.0000000334091548,imaginary
0.01,1.2457627118644068,1.0000000352907736,imaginary
0.01,1.2711864406779663,1.0000000372485238,imaginary
0.01,1.2966101694915255,1.000000039284395,imaginary
0.01,1.3220338983050848,1.0000000414003951,imaginary
0.01,1.3474576271186443,1.000000043598564,imaginary
0.01,1.3728813559322035,1.0000000458809641,imaginary
0.01,1.3983050847457628,1.0000000482496807,imaginary
0.01,1.4237288135593222,1.0000000507068307,imaginary
0.01,1.4491525423728815,1.0000000532545512,imaginary
0.01,1.4745762711864407,1.0000000558950053,imaginary
0.01,1.5,1.000000058630384,imaginary
0.06067796610169492,0.0,1.0,imaginary
0.06067796610169492,0.025423728813559324,1.0000000927421528,imaginary
0.06067796610169492,0.05084745762711865,1.0000001996563486,imaginary
0.06067796610169492,0.07627118644067797,1.0000003218041453,imaginary
0.06067796610169492,0.1016949152542373,1.0000004602825725,imaginary
0.06067796610169492,0.1271186440677966,1.0000006162242803,imaginary
0.06067796610169492,0.15254237288135594,1.0000007907976622,imaginary
0.06067796610169492,0.17796610169491528,1.0000009852070055,imaginary
0.06067796610169492,0.2033898305084746,1.0000012006926458,imaginary
0.06067796610169492,0.2288135593220339,1.0000014385310987,imaginary
0.06067796610169492,0.2542372881355932,1.0000017000352424,imaginary
0.06067796610169492,0.2796610169491526,1.0000019865544643,imaginary
0.06067796610169492,0.3050847457627119,1.0000022994748359,imaginary
0.06067796610169492,0.3305084745762712,1.000002640219284,imaginary
0.06067796610169492,0.35593220338983056,1.0000030102477766,imaginary
