rho_cut,mode,omega2,omega,dev_L2,omega_shift
0.01,rescaled_domain,3.857949562575418,1.9641663785370673,0.22433659939371528,0.19406223881114995
0.01,rescaled_domain,1.9623430451057207,1.4008365518880925,0.29130080682739146,0.1875367079863326
0.01,rescaled_domain,1.1572861051118657,1.075772329590172,0.3462561742626478,0.19113726064251296
0.01,rescaled_domain,0.7441229405220254,0.8626256085475468,0.404265885576371,0.19398775020575687
0.01,rescaled_domain,0.5113993822693277,0.715121935245541,0.46568344117115207,0.19583579078778354
0.02,rescaled_domain,3.3991960809758104,1.8436908854186513,0.1297993490103614,0.12082239589010473
0.02,rescaled_domain,1.7383640776116942,1.318470355226728,0.16645389705662272,0.11771208647659524
0.02,rescaled_domain,1.022398200625564,1.0111370830038646,0.19692251027906824,0.11957058390051353
0.02,rescaled_domain,0.6559529995451561,0.8099092538952473,0.22933699276917677,0.12102135427841111
0.02,rescaled_domain,0.45016264507565185,0.670941610779695,0.26399301063923303,0.12195690294925643
0.05,rescaled_domain,2.705843141370402,1.6449447228920495,0.0,0.0
0.05,rescaled_domain,1.3914924185738962,1.1796153689122129,0.0,0.0
0.05,rescaled_domain,0.815674937392162,0.9031472401508859,0.0,0.0
0.05,rescaled_domain,0.5219692890435176,0.7224744210306117,0.0,0.0
0.05,rescaled_domain,0.35761613412336263,0.5980101455020329,0.0,0.0
0.1,rescaled_domain,2.124700346583206,1.4576351898136948,0.09588237148924178,-0.11386980393422438
0.1,rescaled_domain,1.0962406659670667,1.047015122129125,0.1185677531202502,-0.112409731407082
0.1,rescaled_domain,0.641418464562935,0.8008860496743185,0.13716527047596722,-0.11322759560166834
0.1,rescaled_domain,0.40986427537627707,0.6402064318454455,0.15683057275639348,-0.11386976035471359
0.1,rescaled_domain,0.28054816217007106,0.5296679735174395,0.17802037180014338,-0.11428262964873233
0.01,fixed_domain,4.486665142409158,2.118174955571224,0.47608758030552395,0.13955259318872784
0.01,fixed_domain,2.218435780425534,1.4894414323582965,0.7597861118198479,0.1603244676962753
0.01,fixed_domain,1.285433556106533,1.1337696221484033,1.0160411414115986,0.19057381516563163
0.01,fixed_domain,0.8128513642041805,0.9015826995923227,1.2449119880871697,0.21274370917903956
0.01,fixed_domain,0.5502781626196851,0.7418073622037497,1.4107656928025172,0.22762455486358757
0.02,fixed_domain,4.091864581394564,2.022835777168914,0.3126333335864495,0.08826126444599107
0.02,fixed_domain,2.007741165768009,1.4169478345260311,0.5102006855436012,0.10384954126501138
0.02,fixed_domain,1.1437790843416913,1.0694760793686278,0.7035071432048858,0.1230590334829269
0.02,fixed_domain,0.7138121200177877,0.8448740261232959,0.8963486087344352,0.13646331134471065
0.02,fixed_domain,0.47881520918295306,0.6919647456214464,1.0738750450600023,0.14513950131368733
0.05,fixed_domain,3.455054562076201,1.8587777064717022,0.0,0.0
0.05,fixed_domain,1.6477372532166308,1.2836421827038214,0.0,0.0
0.05,fixed_domain,0.9068531785737068,0.9522883904436233,0.0,0.0
0.05,fixed_domain,0.5526791461107688,0.7434239343139074,0.0,0.0
0.05,fixed_domain,0.3651330503996319,0.6042624019411037,0.0,0.0
0.1,fixed_domain,2.88165544022174,1.6975439435318722,0.31108398675575616,-0.08674182091729565
0.1,fixed_domain,1.3112401518765366,1.1450939489301901,0.5146817330762568,-0.1079336871602317
0.1,fixed_domain,0.693767490939841,0.8329270621968294,0.7150074338981608,-0.12534157661125056
0.1,fixed_domain,0.41282249524618747,0.6425126420905565,0.9086100747535357,-0.13573855718874608
0.1,fixed_domain,0.26891077102196054,0.5185660719927216,1.0800787368149332,-0.14181972876865293
