mode,rho_cut,y,rho,N2
rescaled_domain,0.01,0.0,1.0,2.3680081369548134e-05
rescaled_domain,0.01,0.0002733713295369755,0.9999997728673183,0.0016380357462934601
rescaled_domain,0.01,0.0010931863906127326,0.9999964454956708,0.006479431938123961
rescaled_domain,0.01,0.002458548727494292,0.9999820941634442,0.014542963299889815
rescaled_domain,0.01,0.004367965336512403,0.9999435604089516,0.025820446197555046
rescaled_domain,0.01,0.006819348298638839,0.9998625241114505,0.04030043360850326
rescaled_domain,0.01,0.009810017062595322,0.99971560868887,0.05797831540838621
rescaled_domain,0.01,0.013336701375997129,0.9994744436550163,0.0788306893655335
rescaled_domain,0.01,0.017395544861325718,0.9991060393029525,0.10281812022651785
rescaled_domain,0.01,0.02198210923282118,0.9985728896152086,0.1299238383565214
rescaled_domain,0.01,0.02709137914968268,0.9978332033491094,0.16012965967534318
rescaled_domain,0.01,0.03271776770026952,0.9968412084564722,0.19339992739617712
rescaled_domain,0.01,0.03885512251130763,0.9955476788927533,0.22969320082872843
rescaled_domain,0.01,0.045496732475418855,0.9939002343077379,0.26897729367162315
rescaled_domain,0.01,0.05263533508961826,0.9918438348690697,0.3112196118470914
rescaled_domain,0.01,0.06026312439675552,0.989321266975373,0.35637654822958215
rescaled_domain,0.01,0.06837175952121305,0.9862739411034948,0.4044027906628312
rescaled_domain,0.01,0.07695237378953235,0.9826423462927433,0.45525873356822844
rescaled_domain,0.01,0.08599558442598998,0.9783668872997624,0.5088987085125964
rescaled_domain,0.01,0.09549150281252633,0.9733886032136881,0.5652779361562592
rescaled_domain,0.01,0.10542974530180327,0.9676500114314635,0.6243499296494663
rescaled_domain,0.01,0.11579944457157043,0.9610959514638009,0.6860682898539615
rescaled_domain,0.01,0.1265892615079232,0.953674467878861,0.7503853702669636
rescaled_domain,0.01,0.13778739760445552,0.9453377259736636,0.8172533130087658
rescaled_domain,0.01,0.1493816078637557,0.9360428913987383,0.886629754385254
rescaled_domain,0.01,0.16135921418712956,0.9257529062001819,0.9584699092955596
rescaled_domain,0.01,0.17370711923791565,0.9144375008634218,1.032727226237916
rescaled_domain,0.01,0.18641182076323148,0.902073857645774,1.1093621156323832
rescaled_domain,0.01,0.19945942635848746,0.8886473190524206,1.1883357095305922
rescaled_domain,0.01,0.2128356686585282,0.8741520253130963,1.269614915945033
rescaled_domain,0.01,0.22652592093878665,0.8585913042610438,1.3531652148297364
rescaled_domain,0.01,0.2405152131093924,0.8419782618074949,1.4389594602615678
rescaled_domain,0.01,0.2547882480847459,0.8243356751726434,1.526977346766451
rescaled_domain,0.01,0.26932941851065617,0.8056963460180036,1.6171981072113022
rescaled_domain,0.01,0.2841228238307536,0.7861028286720914,1.7096152953050787
rescaled_domain,0.01,0.29915228767351537,0.7656071362373459,1.8042257501560917
rescaled_domain,0.01,0.31440137554088965,0.7442704147570472,1.9010352294672959
rescaled_domain,0.01,0.32985341277917846,0.7221621936922782,2.0000598781065184
rescaled_domain,0.01,0.34549150281252644,0.699359748939896,2.101325710637754
rescaled_domain,0.01,0.3612985456190778,0.6759470837953665,2.2048714627068584
rescaled_domain,0.01,0.37725725642960045,0.6520140073888172,2.3107476769143935
rescaled_domain,0.01,0.39335018462812665,0.6276549329669431,2.4190217386618453
rescaled_domain,0.01,0.4095597328339451,0.6029677136325617,2.529775379633416
rescaled_domain,0.01,0.42586817614407896,0.5780524008890536,2.643108238959455
rescaled_domain,0.01,0.44225768151520706,0.5530099709851655,2.7591398632095476
rescaled_domain,0.01,0.4587103272638339,0.5279410691545076,2.8780107912179753
rescaled_domain,0.01,0.4752081226633889,0.502944795626424,2.9998849918582295
rescaled_domain,0.01,0.49173302761682075,0.47811753809705443,3.1249525381475673
