rho_cut,mode,omega2,omega
0.01,rescaled_domain,3.857949562575418,1.9641663785370673
0.01,rescaled_domain,1.9623430451057207,1.4008365518880925
0.01,rescaled_domain,1.1572861051118657,1.075772329590172
0.01,rescaled_domain,0.7441229405220254,0.8626256085475468
0.01,rescaled_domain,0.5113993822693277,0.715121935245541
0.02,rescaled_domain,3.3991960809758104,1.8436908854186513
0.02,rescaled_domain,1.7383640776116942,1.318470355226728
0.02,rescaled_domain,1.022398200625564,1.0111370830038646
0.02,rescaled_domain,0.6559529995451561,0.8099092538952473
0.02,rescaled_domain,0.45016264507565185,0.670941610779695
0.05,rescaled_domain,2.705843141370402,1.6449447228920495
0.05,rescaled_domain,1.3914924185738962,1.1796153689122129
0.05,rescaled_domain,0.815674937392162,0.9031472401508859
0.05,rescaled_domain,0.5219692890435176,0.7224744210306117
0.05,rescaled_domain,0.35761613412336263,0.5980101455020329
0.1,rescaled_domain,2.124700346583206,1.4576351898136948
0.1,rescaled_domain,1.0962406659670667,1.047015122129125
0.1,rescaled_domain,0.641418464562935,0.8008860496743185
0.1,rescaled_domain,0.40986427537627707,0.6402064318454455
0.1,rescaled_domain,0.28054816217007106,0.5296679735174395
0.01,fixed_domain,4.486665142409158,2.118174955571224
0.01,fixed_domain,2.218435780425534,1.4894414323582965
0.01,fixed_domain,1.285433556106533,1.1337696221484033
0.01,fixed_domain,0.8128513642041805,0.9015826995923227
0.01,fixed_domain,0.5502781626196851,0.7418073622037497
0.02,fixed_domain,4.091864581394564,2.022835777168914
0.02,fixed_domain,2.007741165768009,1.4169478345260311
0.02,fixed_domain,1.1437790843416913,1.0694760793686278
0.02,fixed_domain,0.7138121200177877,0.8448740261232959
0.02,fixed_domain,0.47881520918295306,0.6919647456214464
0.05,fixed_domain,3.455054562076201,1.8587777064717022
0.05,fixed_domain,1.6477372532166308,1.2836421827038214
0.05,fixed_domain,0.9068531785737068,0.9522883904436233
0.05,fixed_domain,0.5526791461107688,0.7434239343139074
0.05,fixed_domain,0.3651330503996319,0.6042624019411037
0.1,fixed_domain,2.88165544022174,1.6975439435318722
0.1,fixed_domain,1.3112401518765366,1.1450939489301901
0.1,fixed_domain,0.693767490939841,0.8329270621968294
0.1,fixed_domain,0.41282249524618747,0.6425126420905565
0.1,fixed_domain,0.26891077102196054,0.5185660719927216
