N_y,poly_n,omega2_assembled,omega2_primitive,omega2_rel_shift,residual_euclid,residual_cc
32,1.5,2.702722516654186,363.6049838307967,133.5328577352138,201.49170003930442,188.69876448773618
48,1.5,2.7046950486330763,366.1046614206904,134.35894244555064,201.46126600750134,188.68330974931547
64,1.5,2.705369041372709,366.9681115589152,134.64438194824427,201.45065704111119,188.67784424646803
96,1.5,2.705843141370402,367.5858174564484,134.84890115628832,201.44312920987534,188.67394064757295
128,1.5,2.7060070666875844,367.8615922114436,134.94258372050078,201.44052116633867,188.67258672631436
192,1.5,2.7061232742199044,368.06396426921526,135.01152902959205,201.43865767579135,188.6716170124606
256,1.5,2.706163709027269,368.16587016121315,135.04715373762454,201.43801652766717,188.6712832803985
384,1.5,2.706192475843978,368.23841348482483,135.07251397370862,201.4375598997524,188.67104564983765
32,1.0,2.6246517070193285,778.2165681612541,295.50279542996265,265.86422310580593,231.30437174172954
48,1.0,2.6264205608305566,799.276028450123,303.32141766258746,265.90175262448383,231.35222731654
64,1.0,2.6270268438297086,806.7490149967024,306.09583988133704,265.9147034881286,231.3686891696296
96,1.0,2.627453886613164,812.0801863063361,308.0749529207237,265.9238735199233,231.38031815287812
128,1.0,2.6276016931302495,813.9885280129347,308.7838344910008,265.92705634096245,231.38434987250497
192,1.0,2.6277064488677584,815.3467956264471,309.2883870372083,265.92930172831404,231.38719923647113
256,1.0,2.627742904455845,815.8437960142077,309.4732181488482,265.9300836033997,231.3881928709633
384,1.0,2.6277688563624677,816.2001064064102,309.60574617519774,265.9306460544462,231.38890225100326
32,3.0,2.6864886117294793,177.95218107465166,65.23969306912173,154.39631054992898,152.47708927945303
48,3.0,2.685799300970949,178.01894328354845,65.28155097783831,154.16671501233185,152.25707061302782
64,3.0,2.685561340612026,178.0460354396154,65.2975120870036,154.0879218554407,152.18156290649983
96,3.0,2.685393414540984,178.13453597840805,65.33461414399748,154.03240962974732,152.12836591493777
128,3.0,2.6853350707681387,178.16953896406207,65.34909025081059,154.01317390665113,152.1099333616482
192,3.0,2.6852938481157955,178.2317037573611,65.37325888279298,153.99955635338853,152.09688445880852
256,3.0,2.685279475442002,178.2555962028353,65.38251170243429,153.99481258755318,152.09233778580332
384,3.0,2.685269302729753,178.27260026201293,65.38909552974336,153.9914440358683,152.08911090478523
