N_y,poly_n,omega1,dt,n_steps,primitive_per_step,assembled_per_step,primitive_final,assembled_final,prim_per_step_dt2,asm_per_step_dt2,dt_effective
32,1.5,1.6439958992206112,0.0007071067811865476,100,0.0008879976722651627,4.4674054358888816e-18,0.08792016014290481,4.611372806987098e-16,1775.9953445303247,8.93481087177776e-12,0.0007071067811865476
48,1.5,1.6445957097819137,0.0005773502691896258,100,0.0005821092559443618,1.398031586954085e-17,0.0576344059713319,1.6281673194302025e-15,1746.327767833085,4.194094760862255e-11,0.0005773502691896258
64,1.5,1.6448006083938287,0.0005,100,0.0004330320481458713,2.8734550870820084e-18,0.042874363930997375,4.2311815006277474e-16,1732.1281925834853,1.1493820348328034e-11,0.0005
96,1.5,1.6449447228920495,0.00040824829046386303,100,0.0002864007486302632,2.2075123074477403e-17,0.028356467723929548,2.263219267128986e-15,1718.4044917815793,1.3245073844686441e-10,0.00040824829046386303
128,1.5,1.6449945491361315,0.0003535533905932738,100,0.0002139674822072888,1.039473117803158e-17,0.021184875815847305,1.0875333641688797e-15,1711.7398576583098,8.31578494242526e-11,0.0003535533905932738
192,1.5,1.6450298703123614,0.0002886751345948129,100,2.2177900123464014e+100,9.588087236856772e-17,2.1956121122229374e+102,9.754878323806093e-15,2.6613480148156815e+107,1.1505704684228126e-09,0.0002886751345948129
256,1.5,1.6450421602582923,0.00025,100,inf,1.3366451551985462e-16,inf,1.344779794602961e-14,inf,2.138632248317674e-09,0.00025
32,1.0,1.6200776854889793,0.0007071067811865476,100,0.0015914223684455773,4.001502637350018e-18,0.15756656124145388,4.832837640115873e-16,3182.8447368911534,8.003005274700034e-12,0.0007071067811865476
48,1.0,1.6206235098969028,0.0005773502691896258,100,0.0010553566668757657,3.855933826514724e-18,0.10449081020420314,5.155926809497977e-16,3166.070000627297,1.1567801479544172e-11,0.0005773502691896258
64,1.0,1.6208105514925883,0.0005,100,0.0007904287249083556,1.1176466351959715e-17,0.07826031950882245,1.3538053743157462e-15,3161.7148996334226,4.470586540783886e-11,0.0005
96,1.0,1.6209422835539715,0.00040824829046386303,100,0.0005268803008838411,4.3184605668109156e-18,0.05216640056948397,5.700302285892392e-16,3161.2818053030464,2.591076340086549e-11,0.00040824829046386303
128,1.0,1.6209878756888496,0.0003535533905932738,100,0.00039538057963542443,3.4041064245241164e-18,0.03914661554551497,6.172701026292232e-16,3163.0446370833943,2.723285139619292e-11,0.0003535533905932738
192,1.0,1.6210201876805108,0.0002886751345948129,100,1.5467670238471757e+101,1.7861143574028366e-16,1.531299353608704e+103,1.7769429797415617e-14,1.8561204286166107e+108,2.143337228883404e-09,0.0002886751345948129
256,1.0,1.621031432284965,0.00025,100,inf,3.0940560769281066e-16,inf,3.075231098921754e-14,inf,4.950489723084971e-09,0.00025
32,3.0,1.639051131517708,0.0007071067811865476,100,0.00031011834003957773,3.020603128848905e-18,0.030704616656856126,4.257721164934228e-16,620.2366800791552,6.0412062576978075e-12,0.0007071067811865476
48,3.0,1.6388408406465067,0.0005773502691896258,100,0.0002016136640103247,3.485583408568497e-18,0.01996167470158512,4.546303849769805e-16,604.8409920309741,1.045675022570549e-11,0.0005773502691896258
64,3.0,1.6387682388342855,0.0005,100,0.00014946622805610198,2.8727998243850643e-18,0.014798594956558817,4.154361991927125e-16,597.8649122244079,1.1491199297540257e-11,0.0005
96,3.0,1.638717002578842,0.00040824829046386303,100,9.8556251345124e-05,3.820288905085304e-18,0.009758026349175707,5.029645991396527e-16,591.337508070744,2.2921733430511823e-11,0.00040824829046386303
128,3.0,1.6386992008200099,0.0003535533905932738,100,7.352926163286841e-05,3.5213504724074265e-18,0.00728011462342038,5.333098671274886e-16,588.2340930629471,2.8170803779259403e-11,0.0003535533905932738
192,3.0,1.638686622913544,0.0002886751345948129,100,2.721233354133344e+99,6.7037977422877965e-18,2.6940210205920107e+101,7.917660063089641e-16,3.2654800249600124e+106,8.044557290745355e-11,0.0002886751345948129
256,3.0,1.6386822374829118,0.00025,100,inf,1.0825722909031704e-17,inf,1.1973867094754735e-15,inf,1.7321156654450728e-10,0.00025
