method,N_y,setup_time,step_time,memory_bytes,per_step_dev,final_dev,dt
primitive,32,1.81000359589234e-07,2.3102630002540536e-05,9216,0.0008879976722651627,0.08792016014290481,0.0007071067811865476
tau,32,0.00036199099849909544,1.0940069987555035e-05,25600,1.5473371254353884e-14,7.594223868708153e-10,0.0007071067811865476
assembled,32,0.0033495759998913854,1.5396939998026936e-05,8224,4.4674054358888816e-18,4.611372806987098e-16,0.0007071067811865476
primitive,48,2.809974830597639e-07,2.3634819990547838e-05,19968,0.0005821092559443618,0.0576344059713319,0.0005773502691896258
tau,48,0.0005923339995206334,1.117962001444539e-05,56832,9.000637439571322e-14,1.7106233484171234e-09,0.0005773502691896258
assembled,48,0.0033284959972661454,1.5755409986013547e-05,18464,1.398031586954085e-17,1.6281673194302025e-15,0.0005773502691896258
primitive,64,2.0100196707062423e-07,2.4160519969882444e-05,34816,0.0004330320481458713,0.042874363930997375,0.0005
tau,64,0.0009591430025466252,1.1456130014266819e-05,100352,1.8140918912731944e-14,4.3774088032872734e-10,0.0005
assembled,64,0.0038120559984236024,1.6139040017151274e-05,32800,2.8734550870820084e-18,4.2311815006277474e-16,0.0005
primitive,96,2.400010998826474e-07,3.761200001463294e-05,76800,0.0002864007486302632,0.028356467723929548,0.00040824829046386303
tau,96,0.003440076001425041,1.800294001441216e-05,224256,7.39599628524897e-15,3.236961894392179e-10,0.00040824829046386303
assembled,96,0.0021784860000479966,1.7875400008051656e-05,73760,2.2075123074477403e-17,2.263219267128986e-15,0.00040824829046386303
primitive,128,2.5099870981648564e-07,4.176139998889994e-05,135168,0.0002139674822072888,0.021184875815847305,0.0003535533905932738
tau,128,0.09285959699991508,2.077935998386238e-05,397312,1.532246926014304e-15,1.1719460869279143e-10,0.0003535533905932738
assembled,128,0.015977625000232365,2.041558000200894e-05,131104,1.039473117803158e-17,1.0875333641688797e-15,0.0003535533905932738
primitive,192,2.5099870981648564e-07,5.4877360016689634e-05,301056,2.2177900123464014e+100,2.1956121122229374e+102,0.0002886751345948129
tau,192,0.23957761900237529,2.828015996783506e-05,890880,1.0043257823906162e-15,6.023629745791316e-11,0.0002886751345948129
assembled,192,0.008260337999672629,0.00014034982999874045,294944,9.588087236856772e-17,9.754878323806093e-15,0.0002886751345948129
primitive,256,2.2000313038006425e-07,6.804460997955175e-05,532480,inf,inf,0.00025
tau,256,0.06763351799963857,3.510318998451112e-05,1581056,3.3141920715697756e-16,3.8691548904136346e-11,0.00025
assembled,256,0.0629751109991048,6.302216999756638e-05,524320,1.3366451551985462e-16,1.344779794602961e-14,0.00025
