step,E_raw,E_corr,E_int,dE_raw_over_E0,dE_corr_over_E0,dE_int_over_E0
0,3.1530453706405325e-18,3.1530453706405325e-18,2.380929030146625e-18,0.0,0.0,0.0
50,1.2848669266462056e-17,1.0824426643138228e-17,1.0820221070813362e-17,3.0750029752511567,2.43300694113998,3.544537419558037
100,3.3653333816946698e-18,3.3213144755163945e-18,2.5644596425060776e-18,0.06732792779667855,0.05336716890999848,0.07708361317605104
150,1.2431638374481394e-17,1.0494476337817409e-17,1.0457172921057815e-17,2.942740085581433,2.3283619815738605,3.392055701220893
200,3.979518886439351e-18,3.80725136296587e-18,3.099141643416607e-18,0.2621191320285132,0.2074838498731902,0.30165225597915135
250,1.1633654196048907e-17,9.863119937279805e-18,9.762484145406274e-18,2.689656452258904,2.1281249642393,3.100283553939056
300,4.943948826123849e-18,4.57029783644768e-18,3.938730539084326e-18,0.5679916540875842,0.4494868608627844,0.654283050529132
350,1.0523750802223985e-17,8.984976447410775e-18,8.796252670162347e-18,2.3376464862242416,1.8496185088467352,2.6944623543107653
400,6.1751898086644494e-18,5.544442303956749e-18,5.010593008431112e-18,0.9584842851182876,0.7584403813480205,1.1044697027876316
450,9.197946574822134e-18,7.936014567160242e-18,7.642067736778798e-18,1.9171627723687328,1.516936369218202,2.209699928060508
500,7.566726465262928e-18,6.645410964659081e-18,6.22200160997987e-18,1.3998152819874483,1.1076166637301141,1.6132663053785774
550,7.770937600802933e-18,6.806980592563471e-18,6.399778548348598e-18,1.4645815988446398,1.1588590687423732,1.687933351778436
600,8.998176156401859e-18,7.777958384010029e-18,7.468156686300105e-18,1.8538048453688771,1.4668082662032733,2.1366565704985305
650,6.3661752476555595e-18,5.6955479023444795e-18,5.17685625746967e-18,1.0190560234032688,0.8063640807006354,1.1743009522425216
700,1.0345703343379031e-17,8.844107231196935e-18,8.641252642779511e-18,2.2811780761902996,1.8049413159571122,2.6293617043458686
750,5.105186314450119e-18,4.697867177631403e-18,4.079096574897304e-18,0.6191287198043124,0.48994594920054846,0.7132373637554837
800,1.149273267209795e-17,9.75162435447607e-18,9.639804271725798e-18,2.6449626697770077,2.0927637278162776,3.0487575016598245
