label,sweep_var,E0_raw,E0_int,E0_asm,dE_raw,dE_int,dE_asm,omega,ratio_raw_asm,n_steps
amp-sweep-RK4,1e-08,3.1530453706405325e-18,2.380929030146625e-18,2.0279783431398554e-17,2.6449626697770077,3.0487575016598245,-1.4067929478385413e-08,1.6445957097819137,188013642.93450895,
amp-sweep-RK4,0.0001,3.153045370640539e-10,2.3809290301466336e-10,2.0279783431398634e-09,2.644962669777003,3.048757501659806,-1.4067933614841525e-08,1.6445957097819137,188013587.652034,
amp-sweep-RK4,0.1,0.0003153045370640549,0.00023809290301466426,0.002027978343139852,2.6449626697769895,3.0487575016597863,-1.4067930461967425e-08,1.6445957097819137,188013629.78923103,
amp-sweep-exp,1e-08,3.1530453706405325e-18,2.380929030146625e-18,2.0279783431398554e-17,2.567610309065963,2.9624804233546955,-2.643908394442011e-14,1.6445957097819137,97114193308041.97,
amp-sweep-exp,0.0001,3.153045370640539e-10,2.3809290301466336e-10,2.0279783431398634e-09,2.5676103090658984,2.962480423354723,-4.2012087249930704e-14,1.6445957097819137,61115990114729.03,
amp-sweep-exp,0.1,0.0003153045370640549,0.00023809290301466426,0.002027978343139852,2.5676103090659255,2.962480423354614,-1.8604851343766853e-14,1.6445957097819137,138007569188460.45,
Ny-sweep-RK4,48,3.1530453706405325e-18,2.380929030146625e-18,2.0279783431398554e-17,2.6449626697770077,3.0487575016598245,-1.4067929478385413e-08,1.6445957097819137,188013642.93450895,
Ny-sweep-RK4,96,3.1571011895603075e-18,2.4395952302012076e-18,2.0303847623363543e-17,2.653689725245435,3.069144157735935,-1.4085548097433634e-08,1.6449447228920495,188398045.06641337,
Ny-sweep-RK4,192,3.15737824744456e-18,2.4667021191782497e-18,2.0305136382732865e-17,2.6557937605725654,3.074414041702036,-1.408768851490629e-08,1.6450298703123614,188518773.52075538,
Ny-sweep-exp,48,3.1530453706405325e-18,2.380929030146625e-18,2.0279783431398554e-17,2.567610309065963,2.9624804233546955,-2.643908394442011e-14,1.6445957097819137,97114193308041.97,
Ny-sweep-exp,96,3.1571011895603075e-18,2.4395952302012076e-18,2.0303847623363543e-17,2.5755772796162164,2.9817937242498567,1.0309645623753107e-12,1.6449447228920495,2498220960846.768,
Ny-sweep-exp,192,3.15737824744456e-18,2.4667021191782497e-18,2.0305136382732865e-17,2.5774957839511488,2.9867939696391,2.3911153616930233e-12,1.6450298703123614,1077947064053.8896,
dt-sweep-RK4,0.02,3.1530453706405325e-18,2.380929030146625e-18,2.0279783431398554e-17,2.6449626697770077,3.0487575016598245,-1.4067929478385413e-08,1.6445957097819137,,800
dt-sweep-RK4,0.01,3.1530453706405325e-18,2.380929030146625e-18,2.0279783431398554e-17,2.6449632423652285,3.048758159688088,-4.3956390181050633e-10,1.6445957097819137,,1600
dt-sweep-RK4,0.005,3.1530453706405325e-18,2.380929030146625e-18,2.0279783431398554e-17,2.644963276609754,3.048758199102152,-1.3630867260931578e-11,1.6445957097819137,,3200
dt-sweep-exp,0.02,3.1530453706405325e-18,2.380929030146625e-18,2.0279783431398554e-17,2.567610309065963,2.9624804233546955,-2.643908394442011e-14,1.6445957097819137,,800
dt-sweep-exp,0.01,3.1530453706405325e-18,2.380929030146625e-18,2.0279783431398554e-17,2.6063356793192445,3.005673838160607,-1.3872921632905493e-13,1.6445957097819137,,1600
dt-sweep-exp,0.005,3.1530453706405325e-18,2.380929030146625e-18,2.0279783431398554e-17,2.6256620278903613,3.027230016579046,-9.203536290307622e-13,1.6445957097819137,,3200
